symbol	file	result	substitute	diagnostic
ArcadeJoystick	arcade-joystick.svg	ready	0	-
AssetFileBlend	asset-file-blend.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileExr	asset-file-exr.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileFbx	asset-file-fbx.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileGlsl	asset-file-glsl.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileGltf	asset-file-gltf.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileJpg	asset-file-jpg.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileJson	asset-file-json.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileMat	asset-file-mat.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileMp3	asset-file-mp3.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileObj	asset-file-obj.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileOgg	asset-file-ogg.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileOtf	asset-file-otf.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFilePng	asset-file-png.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFilePy	asset-file-py.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileSvg	asset-file-svg.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileTtf	asset-file-ttf.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileWav	asset-file-wav.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileWoff	asset-file-woff.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileWoff2	asset-file-woff2.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFileZip	asset-file-zip.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
AssetFolderAnimation	asset-folder-animation.svg	ready	0	ThorVG vector compatibility artwork (see Icons/ThorVG/manifest.json): feDropShadow, text
