car KoenigseggAgeraR
pull overrun
seconds 11.000000000000000
rate 48000.000000000000
slice 64.000000000000000
seed 1592594996.0000000
pure 0.0000000000000000
listener trackside
frames 528000.00000000000
firings 2346.0000000000000
pops 52.000000000000000
clipped 49903.000000000000
dropped 0.0000000000000000
spawned 54.000000000000000
peak 1.0000000000000000
rpmS 900.00000000001091
throttleS 1.1857575500189917e-321
loadS 0.032666666666667503
theta 211244.99999911350
sampleIndex 528000.00000000000
schemaFields 124.00000000000000
valveHz 10.000000000000000
silencerHz 24000.000000000000
intakeHz 220.00000000000000
valveGain 1.0000000000000000
thumpHz 59.687500000000021
spool 5.0600349284596496e-12
boost 7.0840488998435086e-12
firingWalkDeg -6.1088217913225851
cycleIndex 293.00000000000000
meter0 0.49692704791599662
meter1 0.49569187857488234
meter2 0.43175223648467209
meter3 0.43183800020238244
meter4 0.0000000000000000
meter5 0.0000000000000000
meter6 0.069878578634944760
meter7 0.14164624609156562
meter8 0.51505782154076207
meter9 0.51638699267182664
meter10 0.0000000000000000
meter11 0.0000000000000000
