car KoenigseggAgeraR
pull pull
seconds 15.000000000000000
rate 48000.000000000000
slice 64.000000000000000
seed 1592594996.0000000
pure 0.0000000000000000
listener trackside
frames 720000.00000000000
firings 4030.0000000000000
pops 55.000000000000000
clipped 117111.00000000000
dropped 0.0000000000000000
spawned 57.000000000000000
peak 1.0000000000000000
rpmS 900.00000000001091
throttleS 9.8492415840155077e-293
loadS 0.032666666666667503
theta 362819.99999912560
sampleIndex 720000.00000000000
schemaFields 124.00000000000000
valveHz 10.000000000000000
silencerHz 24000.000000000000
intakeHz 220.00000000000000
valveGain 1.0000000000000000
thumpHz 59.687500000000021
spool 1.2673280092469680e-10
boost 1.7742592129457553e-10
firingWalkDeg -7.9460959017115300
cycleIndex 503.00000000000000
meter0 0.51305129519486281
meter1 0.51276515690578295
meter2 0.49864049654854969
meter3 0.49858108536512430
meter4 0.0000000000000000
meter5 0.0000000000000000
meter6 0.053647496170100686
meter7 0.23238506533392556
meter8 0.56956394696558788
meter9 0.56944812640643572
meter10 0.0000000000000000
meter11 0.0000000000000000
