car NissanGtrNismo
pull pull
seconds 15.000000000000000
rate 48000.000000000000
slice 64.000000000000000
seed 1592594996.0000000
pure 0.0000000000000000
listener trackside
frames 720000.00000000000
firings 2891.0000000000000
pops 26.000000000000000
clipped 105578.00000000000
dropped 0.0000000000000000
spawned 26.000000000000000
peak 1.0000000000000000
rpmS 900.00000000001091
throttleS 9.8492415840155077e-293
loadS 0.067484662576688781
theta 346979.99999969121
sampleIndex 720000.00000000000
schemaFields 111.00000000000000
valveHz 10.000000000000000
silencerHz 24000.000000000000
intakeHz 220.00000000000000
valveGain 1.0000000000000000
thumpHz 49.687500000000021
spool 1.6336862832530019e-15
boost 1.7970549115783022e-15
firingWalkDeg -2.5931307456107531
cycleIndex 481.00000000000000
meter0 0.37452173372965830
meter1 0.39503229360308251
meter2 0.40733921243455024
meter3 0.41535043567905217
meter4 0.0000000000000000
meter5 0.0000000000000000
meter6 0.15200006382064404
meter7 0.13657600925939764
meter8 0.56329793757541313
meter9 0.57122307852572429
meter10 0.0000000000000000
meter11 0.0000000000000000
