car Porsche918Spyder
pull pull
seconds 15.000000000000000
rate 48000.000000000000
slice 64.000000000000000
seed 1592594996.0000000
pure 0.0000000000000000
listener trackside
frames 720000.00000000000
firings 4792.0000000000000
pops 127.00000000000000
clipped 98203.000000000000
dropped 0.0000000000000000
spawned 127.00000000000000
peak 1.0000000000000000
rpmS 1000.0000000000109
throttleS 9.8492415840155077e-293
loadS 0.068518518518520186
theta 431337.60624403280
sampleIndex 720000.00000000000
schemaFields 124.00000000000000
valveHz 299.99999980462576
silencerHz 24000.000000000000
intakeHz 220.00000000000000
valveGain 1.0000000000000000
thumpHz 66.875000000000014
spool 0.0000000000000000
boost 0.0000000000000000
firingWalkDeg -11.256748596034074
cycleIndex 599.00000000000000
meter0 0.63277687364713153
meter1 0.63247289156963649
meter2 0.55075347622828186
meter3 0.55033290180018879
meter4 0.0000000000000000
meter5 0.015662559382401707
meter6 0.071107828374892837
meter7 0.0000000000000000
meter8 0.55362234398113863
meter9 0.55795143876078312
meter10 0.0000000000000000
meter11 0.0000000000000000
